id,symbol,name,market_cap (usd),market_cap_rank,categories
usdd,usdd,USDD,218497339,248,[]
saasgo,saas,SaaSGo,54263571,629,[]
koinos,koin,Koinos,5813745,1771,[]
swarmnode-ai,snai,SwarmNode.ai,22554228,1008,[]
mask-network,mask,Mask Network,218542986,247,[]
energy-web-token,ewt,Energy Web,54511578,628,[]
wirex,wxt,WXT Token,5825568,1770,[]
dimitra,dmtr,Dimitra,22554982,1009,[]
origintrail,trac,OriginTrail,221754300,246,[]
fwog,fwog,Fwog,54597486,627,[]
catecoin,cate,CateCoin,5852514,1769,[]
lumoz,moz,Lumoz,22586557,1006,[]
echelon-prime,prime,Echelon Prime,222508790,245,[]
falcon-finance,usdf,Falcon USD,54879720,626,[]
vestra-dao,vstr,Vestra DAO,5853587,1768,[]
gitcoin,gtc,Gitcoin,22618943,1007,[]
wemix-token,wemix,WEMIX,222671710,243,[]
ai-analysis-token,aiat,AI Analysis Token,55005403,625,[]
divi,divi,Divi,5854062,1767,[]
elon4afd,elon4afd,Elon4AfD,22811490,1005,[]
vethor-token,vtho,VeThor,222814808,244,[]
koala-ai,koko,KOALA AI,5854092,1766,[]
lofi-2,lofi,LOFI,22835772,1003,[]
ai16z,ai16z,ai16z,222871654,242,[]
elys-network,elys,Elys,5864733,1762,[]
oho-blockchain,oho,OHO Blockchain,22844921,1004,[]
instadapp,fluid,Fluid,223626553,241,[]
ponke,ponke,PONKE,55345665,622,[]
chainge-finance,xchng,Chainge,5866153,1765,[]
pinksale,pinksale,PinkSale,22914367,1001,[]
0x,zrx,0x Protocol,224649169,240,[]
fuel-network,fuel,Fuel Network,55346216,621,[]
roaland-core,roa,ROACORE,5866671,1764,[]
palm-ai,palm,PaLM AI,22918640,1002,[]
layerzero,zro,LayerZero,226230071,239,[]
o-intelligence-coin,oi,O Intelligence Coin,55415574,620,[]
smoking-chicken-fish,scf,Smoking Chicken Fish,5868123,1763,[]
level-staked-usd,slvlusd,Staked Level USD,22941572,1000,[]
livepeer,lpt,Livepeer,227772683,238,[]
magic-internet-money,mim,Magic Internet Money (Ethereum),55417808,619,[]
kepler,avia,Kepler,5874512,1761,[]
vara-network,vara,Vara Network,23025385,999,[]
basic-attention-token,bat,Basic Attention,229401107,237,[]
ocean-protocol,ocean,Ocean Protocol,55670077,618,[]
fluence-2,flt,Fluence,5878010,1760,[]
wagmi-2,wagmi,Wagmi,23153101,998,[]
dydx,ethdydx,dYdX,230504021,236,[]
sundog,sundog,Sundog,56153268,617,[]
realgoat,rgoat,RealGoat,5882944,1759,[]
ultra,uos,Ultra,23211911,996,[]
oasis-network,rose,Oasis,231772437,235,[]
ski-mask-dog,ski,Ski Mask Dog,56266590,616,[]
wise-token11,wise,Wise,5883540,1758,[]
my-lovely-coin,mlc,My Lovely Coin,23220627,997,[]
superfarm,super,SuperVerse,234916321,234,[]
trac,trac,TRAC (Ordinals),5899657,1757,[]
wanchain,wan,Wanchain,23514835,995,[]
qtum,qtum,Qtum,235692691,233,[]
comedian,ban,Comedian,56541487,614,[]
